ID,NAME,VG,BP,BC,BLSC,LA,FLA,LC,CC,AuriC,CA,IC,CS,PT,SB,PE,AP,ApiC,SC,LPC,SLC,SLL,SCC,ET,LB,BLB,RSB,LS,S,~SH,~BL,~BW,~LL,~NDSH,~CL,~CN,~PL,~GL,~GW,~W1000
TYPE,,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,II,II,II,II,II,II,II,II,II,II,II
121,Bred_0096,1,3,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,8,1,2,3,1,24,40,10,8,120,59,12,17,7,5,14
122,Bred_0099,1,3,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,3,1,2,3,1,23,35,11,15,106,63,8,20,7,3,18
123,Bred_0100,1,3,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,1,2,3,1,24,37,13,17,105,58,8,19,7,4,24
124,Bred_0101,1,3,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,4,1,2,3,1,23,28,11,15,108,61,9,17,7,3,18
125,Bred_0102,1,3,1,1,1,3,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,9,1,3,2,2,26,50,12,10,127,87,10,22,7,4,20
126,Bred_0103,1,3,1,1,1,2,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,2,1,4,1,2,3,1,21,47,10,20,104,58,6,20,8,4,20
127,Bred_0105,1,3,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,4,2,2,3,1,20,43,5,6,101,51,8,18,7,3,19
128,Bred_0106,1,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,9,1,2,3,1,21,39,11,11,94,51,9,21,7,4,19
133,Bred_0107,1,3,2,1,1,2,1,1,1,1,1,1,2,2,1,2,5,1,1,1,1,1,1,1,2,2,,1,22,33,13,16,113,87,8,20,7,3,20
134,Bred_0108,1,3,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,9,1,2,3,1,23,42,11,13,124,72,12,22,7,3,13
166,Bred_0111,1,3,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,1,2,3,1,25,37,10,12,99,62,6,21,8,3,19
167,Bred_0112,1,3,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,1,2,3,1,23,46,10,20,104,64,8,20,8,4,19
168,Bred_0113,2,3,3,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,7,1,2,2,,21,41,12,10,136,66,13,20,8,4,18
182,Bred_0114,1,3,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,7,1,2,3,1,22,55,11,15,105,68,11,9,7,3,16
183,Bred_0115,2,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,9,2,3,2,1,,33,8,10,127,71,10,20,6,3,14
184,Bred_0116,1,3,2,1,1,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,3,1,22,46,8,13,111,80,9,22,7,3,14
185,Bred_0117,1,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,9,1,1,2,1,22,38,10,8,124,72,11,18,7,3,15
186,Bred_0118,1,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,9,1,1,2,1,23,26,8,11,124,69,11,19,7,4,15
187,Bred_0119,1,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,,,9,1,2,2,1,22,32,9,10,122,62,12,19,,,15
188,Bred_0121,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,9,2,2,2,1,19,30,12,18,127,63,11,18,7,3,16
189,Bred_0123,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,9,2,1,2,1,17,36,13,14,124,70,8,19,6,3,13
190,Bred_0125,1,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,9,1,2,2,1,27,45,12,16,97,73,9,22,7,4,15
191,Bred_0129,2,3,2,1,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,,,9,1,2,2,1,25,50,13,17,135,79,17,21,,,
192,Bred_0132,1,3,2,1,1,2,1,1,1,1,1,1,2,2,2,,2,1,1,1,1,1,1,7,2,2,2,1,,43,11,4,122,68,15,21,7,3,14
193,Bred_0133,1,3,2,1,1,1,1,1,1,2,1,1,2,2,2,1,7,5,1,1,1,,,9,2,3,1,,22,28,10,17,156,64,14,20,,,
194,Bred_0134,1,3,3,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,9,1,2,2,1,20,32,10,12,127,68,10,20,8,3,15
195,Bred_0135,1,3,3,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,8,1,2,2,1,19,32,10,13,127,73,11,21,8,3,17
198,Bred_0137,1,3,2,1,1,3,1,1,1,1,1,1,2,2,2,4,5,1,1,1,1,1,1,7,2,1,2,1,19,32,12,10,120,75,13,19,8,3,19
201,Bred_0140,2,3,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,7,2,2,3,5,23,36,14,16,116,50,8,21,8,3,14
299,Bred_0141,1,3,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,3,1,19,38,12,13,102,55,8,20,8,3,26
300,Bred_0142,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,3,1,19,39,12,17,102,61,7,21,7,3,27
301,Bred_0143,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,3,1,20,49,11,14,103,61,9,22,9,4,28
302,Bred_0145,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,7,2,1,3,1,20,26,9,14,118,64,7,19,7,4,25
303,Bred_0146,1,3,2,1,1,3,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,7,1,3,3,1,20,44,10,15,117,68,7,19,7,3,27
304,Bred_0147,1,3,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,3,1,20,37,13,16,102,62,8,20,8,3,27
305,Bred_0149,1,3,3,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,2,3,1,23,32,11,13,101,68,8,19,8,3,24
306,Bred_0152,1,3,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,3,1,20,35,11,13,102,64,6,19,8,3,26
316,Bred_0154,1,3,2,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,3,3,1,,,6,1,3,2,1,22,37,10,5,122,81,14,21,,,
317,Bred_0156,2,3,2,1,1,2,1,1,1,2,2,2,2,2,3,3,2,1,1,1,1,1,1,6,2,3,2,1,21,48,14,15,122,71,15,23,7,3,26
318,Bred_0157,1,3,3,1,1,2,1,1,1,2,1,2,2,2,2,1,5,1,1,1,1,1,1,6,1,3,3,1,22,29,11,4,87,73,8,18,7,3,24
351,Bred_0158,1,3,2,1,1,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,4,1,2,3,2,26,60,13,18,117,108,9,26,7,4,25
353,Bred_0159,1,3,3,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,4,1,2,3,1,22,29,10,8,108,49,9,17,8,3,28
